Series Name,Series Code,Country Name,Country Code,1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
GDP per capita (current US$),NY.GDP.PCAP.CD,Netherlands,NLD,9926.1299705666,13783.8501091364,16709.5596773838,17744.5013844684,17397.6916825595,21290.8603827045,21732.2307621923,23904.037415058,23122.4107668645,24646.3143096269,29258.1343486211,29006.8094454171,26700.5371335926,27885.8083823465,28272.6432492539,26214.498549887,26896.5481111196,29343.2449960602,35750.9746630269,40436.6182310407,41994.7135305232,44900.9381441374,51799.2085521047,57879.9437553916,52722.2130568997,50999.7451168879,54230.3129029852,50070.1416045904,52198.8975607454,52900.537415323,45193.4032187971,46039.1059284098,48675.2223350213,53044.5324352253,52476.2732533327,52162.5701150406,58727.8705471475,57025.01245598
GDP per capita (current US$),NY.GDP.PCAP.CD,New Caledonia,NCL,5534.61245436799,7634.70933439257,9271.60810905143,12665.9059465198,13092.3254858104,14800.7912519469,15133.1569672765,16261.9551893269,15297.045903301,16037.0292949533,18721.0576275536,18257.2150594196,16339.807172353,17324.2505696201,17435.7454558926,16039.169165098,15174.2784558844,16885.8943867434,21817.3151192465,25770.5310511611,26861.698544729,29604.0525466296,36864.8575980884,37353.7374256261,35391.0880349722,37494.8952028518,40697.6528593173,37294.0228471229,38503.2540609118,39675.5664792121,32428.5722348241,32286.9104984753,33876.3290941463,36495.1959423457,34934.5794300065,34877.6356349199,37247.4931167883,35745.1850468561
GDP per capita (current US$),NY.GDP.PCAP.CD,New Zealand,NZL,7600.56524172937,9427.55394035348,12330.9168305483,13759.1556295922,13312.3855858113,13663.0216184298,12230.0734548834,11793.1392416214,13094.3454502639,15280.3127842922,17400.4201848172,18794.436039393,17474.187029724,14738.4455703918,15322.2238340267,13641.1027183822,13882.8568268586,16874.1874918196,21913.7081719961,25420.234882944,27751.0654708859,26654.5932018985,32479.9817381467,31252.9625640673,28209.3623271229,33676.7741239925,38387.6270784076,39973.3807587223,42976.6495882584,44572.8987536626,38630.7265886928,40058.1961621466,42910.9728362488,43236.8866923404,42796.4305818389,41760.5947840005,49996.4206725811,48418.5916631992
GDP per capita (current US$),NY.GDP.PCAP.CD,Nicaragua,NIC,..,..,..,641.90737012529,245.362616478623,238.765009832719,344.050079324801,404.953771843515,388.021851813989,835.236315157984,876.859859603988,895.262230933856,896.6518714525,931.795913449482,961.551521577843,996.89785199474,1025.10850978461,993.38411432576,999.885953957977,1075.99856237763,1158.88129036183,1223.08314801605,1323.83906546824,1493.90485273615,1438.09661601851,1495.73375442812,1644.80148124531,1746.42125435257,1794.78918809148,1913.52134831663,2025.32143224265,2079.45102735861,2127.28281786358,1981.85836665362,1905.63832831484,1876.60737823677,2064.92924633583,2255.42599496242
GDP per capita (current US$),NY.GDP.PCAP.CD,Niger,NER,200.425461174833,257.019903220211,292.408759998769,289.670121429386,268.549405264726,419.603895407619,380.53663788777,380.149069633365,332.062215642227,204.149587142922,234.619604753582,237.014962757542,218.246144723794,243.517549552896,225.953508013329,192.877725789359,203.52648886842,223.352392861667,263.091231815682,281.325360212044,316.365647620285,331.103767973979,384.718345483996,472.178427355585,458.421890235321,471.61268796898,507.602495302453,525.047284914011,548.157848842165,560.754475169279,481.111301105002,497.036120831726,514.543398015622,568.599659746618,549.81612778082,564.841662317524,590.629494752737,585.404929171026
GDP per capita (current US$),NY.GDP.PCAP.CD,Nigeria,NGA,882.282702701047,638.731695673269,598.290968728108,549.503755599888,474.456900103068,567.517902154176,609.373128300476,519.635847459547,551.892919214456,762.398733247892,1302.55005158505,1673.90614635689,1765.07876843445,1871.75605670825,494.129227253689,563.047086217561,583.085838768235,733.537888694616,786.802214827723,992.74539908679,1250.40691277354,1652.15400173092,1876.41303262801,2227.79034922679,1883.88778309689,2280.11128904338,2504.87910104512,2728.02278831129,2976.75683168398,3200.95279935925,2679.5542234874,2144.78034442697,1941.87947889475,2125.83449073877,2334.02364318105,2074.61374667422,2065.77441035114,2162.63373428577
GDP per capita (current US$),NY.GDP.PCAP.CD,North Macedonia,MKD,..,..,..,..,..,2299.0443294502,2424.90767364438,1207.54289816124,1343.31528857667,1795.55311637563,2372.54371311275,2327.73078693533,1959.56073782188,1875.81662735988,1915.39281060996,1861.89899780644,1823.02267682636,1989.13537265159,2440.47882968871,2795.89739346219,3072.67963241319,3362.97069325398,4079.39040357019,4841.25366017816,4584.71243091987,4577.68954288046,5098.09470097215,4728.31307850676,5241.05360094583,5495.73138040533,4861.55615984223,5149.58676436907,5450.49706853299,6108.73917044261,6070.38805358275,5965.45023195365,6778.56287821774,6591.47131411961
GDP per capita (current US$),NY.GDP.PCAP.CD,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16640.3151810477,16603.4600592311,16829.3972015911,15371.2423035132,14986.3760217984,14877.0816812054,15641.657782516,13933.6791923724,14772.4961635883,13880.4265041889,14247.7893007888,14806.0067892829,16044.4307312558,17665.1007493109,24054.9156122269,30751.6410731534,25862.7544529262,23687.2718520599,17302.9221368504,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Norway,NOR,15753.5527652129,18883.2333523873,22505.8622623684,24207.281468963,24281.1304051396,28242.981402822,28596.9330036444,30523.9850558974,27963.6979095744,29315.8092337732,34875.7043347536,37321.9741993473,36629.0309036621,34803.4634058738,36393.2927471088,38178.2368777076,38601.897639231,43170.557174499,50250.3298214345,57768.6980958462,67047.1704558264,74434.4996835671,85502.2677087731,97503.5407803783,80347.5700665184,88163.2085931423,101221.813476644,102175.919298374,103553.840134417,97666.6951838749,74809.9658049898,70867.3609970749,76131.8384032764,82792.8427113304,76430.5889473338,68340.0181033702,93072.8925119571,108729.18690323
GDP per capita (current US$),NY.GDP.PCAP.CD,Oman,OMN,7393.57625788773,5074.08477292746,5094.19115057705,5165.72957723505,5468.52832735384,6475.41707045963,5984.36061704382,6272.46943684768,6029.87638806126,6054.74388400155,6352.82305853533,6913.14646205887,7052.69677045416,6139.73282520597,6742.82460298065,8321.39386651557,8191.51283162468,8380.03895178727,8896.90253020963,10030.4444262065,12357.7013911873,14533.7294232494,16151.275839059,22974.2773504319,17937.9795676859,22552.1990071233,24166.0963053624,24722.6388245874,23563.9405992228,23121.2063768559,18777.4330589162,17082.2061998982,17802.5751178049,19887.5743113149,19132.1522739094,16707.6230063214,19509.4664633867,25056.7948608378
